Station_Name,Shinkansen_Line,Year,Prefecture,Distance from Tokyo st,Company,Latitude,Longitude
Tokyo,Tokaido_Shinkansen,1964,Tokyo,0.0,JR_Central,35.68083191,139.76693726
Shinagawa,Tokaido_Shinkansen,2003,Tokyo,6.8,JR_Central,35.62815857,139.73910522
Shin-Yokohama,Tokaido_Shinkansen,1964,Kanagawa,28.8,JR_Central,35.46544266,139.62283325
Odawara,Tokaido_Shinkansen,1964,Kanagawa,83.9,JR_Central,35.26456451,139.15216064
Atami,Tokaido_Shinkansen,1964,Shizuoka,104.6,JR_Central,35.09599686,139.0715332
Mishima,Tokaido_Shinkansen,1969,Shizuoka,120.7,JR_Central,35.11840439,138.91851807
Shin-Fuji,Tokaido_Shinkansen,1988,Shizuoka,146.2,JR_Central,35.1423645,138.66319275
Shizuoka,Tokaido_Shinkansen,1964,Shizuoka,180.2,JR_Central,34.97558212,138.38275146
Kakegawa,Tokaido_Shinkansen,1988,Shizuoka,229.3,JR_Central,34.7687645,137.99816895
Hamamatsu,Tokaido_Shinkansen,1964,Shizuoka,257.1,JR_Central,34.71084595,137.72616577
Toyohashi,Tokaido_Shinkansen,1964,Aichi,293.6,JR_Central,34.76919174,137.39138794
Mikawa-Anjo,Tokaido_Shinkansen,1988,Aichi,336.3,JR_Central,34.96896744,137.06066895
Nagoya,Tokaido_Shinkansen,1964,Aichi,336.0,JR_Central,35.17077255,136.88160706
Gifu-Hashima,Tokaido_Shinkansen,1964,Gifu,396.3,JR_Central,35.31947708,136.70269775
Maibara,Tokaido_Shinkansen,1964,Shiga,445.9,JR_Central,35.31507874,136.29124451
Kyoto,Tokaido_Shinkansen,1964,Kyoto,513.6,JR_Central,34.98555374,135.75778198
Shin-Osaka,"Tokaido_Shinkansen,Sanyo_Shinkansen",1964,Osaka,552.6,JR_Central,34.73361206,135.75778198
Shin-Kobe,Sanyo_Shinkansen,1972,Hyogo,589.5,JR_West,34.70641708,135.195755
Nishi-Akashi,Sanyo_Shinkansen,1972,Hyogo,612.3,JR_West,34.64305878,134.99755859
Himeji,Sanyo_Shinkansen,1972,Hyogo,644.3,JR_West,34.8151474,134.68534851
Aioi,Sanyo_Shinkansen,1972,Hyogo,665.0,JR_West,34.80360031,134.46806335
Okayama,Sanyo_Shinkansen,1972,Okayama,732.9,JR_West,34.82284546,133.81350708
Shin-Kurashiki,Sanyo_Shinkansen,1975,Okayama,758.1,JR_West,34.56498718,133.67868042
Fukuyama,Sanyo_Shinkansen,1975,Hiroshima,791.2,JR_West,34.48590088,133.36231995
Shin-Onomichi,Sanyo_Shinkansen,1988,Hiroshima,811.3,JR_West,34.42985916,133.19015503
Mihara,Sanyo_Shinkansen,1975,Hiroshima,822.8,JR_West,34.39775085,133.07795715
Higashi-Hiroshima,Sanyo_Shinkansen,1988,Hiroshima,862.4,JR_West,34.36533737,132.55409241
Hiroshima,Sanyo_Shinkansen,1975,Hiroshima,894.2,JR_West,34.39833069,132.47583008
Shin-Iwakuni,Sanyo_Shinkansen,1975,Yamaguchi,935.6,JR_West,34.16467285,132.14938354
Tokuyama,Sanyo_Shinkansen,1975,Yamaguchi,982.7,JR_West,34.05570984,131.80656433
Shin-Yamaguchi,Sanyo_Shinkansen,1975,Yamaguchi,1027.0,JR_West,34.09305954,131.39715576
Asa,Sanyo_Shinkansen,1999,Yamaguchi,1062.1,JR_West,34.05413788939898,131.16059736441778
Shin-Shimonoseki,Sanyo_Shinkansen,1975,Yamaguchi,1088.7,JR_West,34.00561523,130.94824219
Kokura,Sanyo_Shinkansen,1975,Fukuoka,1107.7,JR_West,33.88299942,130.88299561
Hakata,"Sanyo_Shinkansen,Kyushu-Shinknsen",1975,Fukuoka,1174.9,JR_West,33.58980179,130.42068481
Tokyo,Tohoku_Shinkansen,1991,Tokyo,0.0,JR_East,35.68083191,139.76693726
Ueno,Tohoku_Shinkansen,1985,Tokyo,3.6,JR_East,35.71343231,139.77671814
